RANK,COMPANY,SYMBOL,REVENUES($M),WEBSITE
128,Emerson Electric,EMR,22304,www.emerson.com
129,Union Pacific,UNP,21813,www.up.com
130,Amgen,AMGN,21662,www.amgen.com
131,U.S. Bancorp,USB,21494,www.usbank.com
132,Staples,SPLS,21059,www.staples.com
133,Danaher,DHR,20909,www.danaher.com
134,Whirlpool,WHR,20891,www.whirlpoolcorp.com
135,Aflac,AFL,20872,www.aflac.com
136,AutoNation,AN,20862,www.autonation.com
137,Progressive,PGR,20854,www.progressive.com
138,Abbott Laboratories,ABT,20661,www.abbott.com
139,Dollar General,DG,20369,www.dollargeneral.com
140,Tenet Healthcare,THC,20111,www.tenethealth.com
141,Eli Lilly,LLY,19959,www.lilly.com
142,Southwest Airlines,LUV,19820,www.southwest.com
143,Penske Automotive Group,PAG,19361,www.penskeautomotive.com
144,ManpowerGroup,MAN,19330,www.manpowergroup.com
145,Kohl's,KSS,19204,www.kohlscorporation.com
146,Starbucks,SBUX,19163,www.starbucks.com
147,Paccar,PCAR,19115,www.paccar.com
148,Cummins,CMI,19110,www.cummins.com
149,Altria Group,MO,18854,www.altria.com
150,Xerox,XRX,18664,www.xerox.com
151,Kimberly-Clark,KMB,18591,www.kimberly-clark.com
152,Hartford Financial Services Group,HIG,18377,www.thehartford.com
153,Kraft Heinz,KHC,18338,www.kraftheinzcompany.com
154,Lear,LEA,18211,www.lear.com
155,Fluor,FLR,18114,www.fluor.com
156,AECOM,ACM,17990,www.aecom.com
157,Facebook,FB,17928,www.facebook.com
158,Jabil Circuit,JBL,17914,www.jabil.com
159,CenturyLink,CTL,17900,www.centurylink.com
160,Supervalu,SVU,17820,www.supervalu.com
161,General Mills,GIS,17630,www.generalmills.com
162,Southern,SO,17489,www.southerncompany.com
163,NextEra Energy,NEE,17486,www.nexteraenergy.com
164,Thermo Fisher Scientific,TMO,16965,www.thermofisher.com
165,American Electric Power,AEP,16900,www.aep.com
166,PG&E Corp.,PCG,16833,www.pge.com
167,NGL Energy Partners,NGL,16802,www.nglenergypartners.com
168,Bristol-Myers Squibb,BMY,16560,www.bms.com
169,Goodyear Tire & Rubber,G,16443,www.goodyear.com
170,Nucor,NUE,16439,www.nucor.com
171,PNC Financial Services Group,PNC,16270,www.pnc.com
172,Health Net,HNT,16244,www.healthnet.com
173,Micron Technology,MU,16192,www.micron.com
174,Colgate-Palmolive,CL,16034,www.colgatepalmolive.com
175,Freeport-McMoRan,FCX,15877,www.fcx.com
176,ConAgra Foods,CAG,15849,www.conagrafoods.com
177,Gap,GPS,15797,www.gapinc.com
178,Baker Hughes,BHI,15742,www.bakerhughes.com
179,Bank of New York Mellon Corp.,BK,15523,www.bnymellon.com
180,Dollar Tree,DLTR,15498,www.dollartree.com
181,Whole Foods Market,WFM,15389,www.wholefoodsmarket.com
182,PPG Industries,PPG,15330,www.ppg.com
183,Genuine Parts,GPC,15280,www.genpt.com
184,Icahn Enterprises,IEP,15272,www.ielp.com
185,Performance Food Group,PFGC,15270,www.pfgc.com
186,Omnicom Group,OMC,15134,www.omnicomgroup.com
187,DISH Network,DISH,15069,www.dish.com
188,FirstEnergy,FE,15026,www.firstenergycorp.com
189,Monsanto,MON,15001,www.monsanto.com
190,AES,AES,14963,www.aes.com
191,CarMax,KMX,14874,www.carmax.com
192,National Oilwell Varco,NO8,14757,www.nov.com
193,NRG Energy,NRG,14674,www.nrgenergy.com
194,Western Digital,WDC,14572,www.westerndigital.com
195,Marriott International,MAR,14486,www.marriott.com
196,Office Depot,ODP,14485,www.officedepot.com
197,Nordstrom,JWN,14437,www.nordstrom.com
198,Kinder Morgan,KMI,14403,www.kindermorgan.com
199,Aramark,ARMK,14329,www.aramark.com
200,DaVita,DVA,14210,www.davita.com
201,Molina Healthcare,MOH,14178,www.molinahealthcare.com
202,WellCare Health Plans,WCG,13890,www.wellcare.com
203,CBS,CBS,13886,www.cbscorporation.com
204,Visa,V,13880,www.visa.com
205,Lincoln National,LNC,13572,www.lfg.com
206,Ecolab,ECL,13545,www.ecolab.com
207,Kellogg,K,13525,www.kelloggcompany.com
208,C.H. Robinson Worldwide,CHRW,13476,www.chrobinson.com
209,Textron,TXT,13423,www.textron.com
210,Loews,L,13415,www.loews.com
211,Illinois Tool Works,ITW,13405,www.itw.com
212,Synnex,SNX,13338,www.synnex.com
213,Viacom,VIAB,13268,www.viacom.com
214,HollyFrontier,HFC,13238,www.hollyfrontier.com
215,Land O'Lakes,LAKE,13161,www.landolakesinc.com
216,Devon Energy,DVN,13145,www.devonenergy.com
217,PBF Energy,PBF,13124,www.pbfenergy.com
218,Yum Brands,YUM,13105,www.yum.com
219,Texas Instruments,TXN,13000,www.ti.com
220,CDW,CDW,12989,www.cdw.com
221,Waste Management,WM,12961,www.wm.com
222,Marsh & McLennan,MMC,12893,www.mmc.com
223,Chesapeake Energy,CHK,12764,www.chk.com
224,Parker-Hannifin,PH,12712,www.parker.com
225,Occidental Petroleum,OXY,12699,www.oxy.com
226,Guardian Life Ins. Co. of America,,12628,www.guardianlife.com
227,Farmers Insurance Exchange,,12626,www.farmers.com
228,J.C. Penney,JCP,12625,www.jcpenney.com
229,Consolidated Edison,ED,12554,www.conedison.com
230,Cognizant Technology Solutions,CTSH,12416,www.cognizant.com
231,VF,VFC,12377,www.vfc.com
232,Ameriprise Financial,AMP,12200,www.ameriprise.com
233,Computer Sciences,CSC,12183,www.csc.com
234,L Brands,LB,12154,www.lb.com
235,Jacobs Engineering Group,JEC,12115,www.jacobs.com
236,Principal Financial Group,PFG,11964,www.principal.com
237,Ross Stores,ROST,11940,www.rossstores.com
238,Bed Bath & Beyond,BBBY,11881,www.bedbathandbeyond.com
239,CSX,CSX,11811,www.csx.com
240,Toys "R" Us,TOY,11802,www.toysrusinc.com
241,Las Vegas Sands,LVS,11689,www.sands.com
242,Leucadia National,LUK,11684,www.leucadia.com
243,Dominion Resources,D,11683,www.dom.com
244,United States Steel,X,11574,www.ussteel.com
245,L-3 Communications,LLL,11554,www.l-3com.com
246,Edison International,EIX,11524,www.edisoninvestor.com
247,Entergy,ELA,11513,www.entergy.com
248,ADP,ADP,11477,www.adp.com
249,First Data,FDC,11451,www.firstdata.com
250,BlackRock,BLK,11401,www.blackrock.com
251,WestRock,WRK,11381,www.westrock.com
252,Voya Financial,VOYA,11341,www.voya.com
253,Sherwin-Williams,SHW,11339,www.sherwin.com
254,Hilton Worldwide Holdings,HLT,11272,www.hiltonworldwide.com
255,R.R. Donnelley & Sons,RRD,11257,www.rrdonnelley.com
256,Stanley Black & Decker,SWK,11211,www.stanleyblackanddecker.com
257,Xcel Energy,XEL,11025,www.xcelenergy.com
258,Murphy USA,MUSA,10885,corporate.murphyusa.com
259,CBRE Group,CBG,10856,www.cbre.com
260,D.R. Horton,DHI,10824,www.drhorton.com
261,Estee Lauder,EL,10780,www.elcompanies.com
262,Praxair,PX,10776,www.praxair.com
263,Biogen,BIIB,10764,www.biogen.com
264,State Street Corp.,STT,10760,www.statestreet.com
265,Unum Group,UNM,10731,www.unum.com
266,Reynolds American,RAI,10675,www.reynoldsamerican.com
267,Group 1 Automotive,GPI,10633,www.group1auto.com
268,Henry Schein,HSIC,10630,www.henryschein.com
269,Hertz Global Holdings,HRI,10535,www.hertz.com
270,Norfolk Southern,NSC,10511,www.nscorp.com
271,Reinsurance Group of America,RGA,10418,www.rgare.com
272,Public Service Enterprise Group,PEG,10415,www.pseg.com
273,BB&T Corp.,BBT,10346,www.bbt.com
274,DTE Energy,DTE,10337,www.dteenergy.com
275,Assurant,AIZ,10326,www.assurant.com
276,Global Partners,GLP,10315,www.globalp.com
277,Huntsman,HUN,10299,www.huntsman.com
278,Becton Dickinson,BDX,10282,www.bd.com
279,Sempra Energy,SRE,10231,www.sempra.com
280,AutoZone,AZO,10187,www.autozone.com
281,Navistar International,NAV,10140,www.navistar.com
282,Precision Castparts,PCP,10056,www.precast.com
283,Discover Financial Services,DFS,10002,www.discoverfinancial.com
284,Liberty Interactive,QVCA,9989,www.libertyinteractive.com
285,W.W. Grainger,GWW,9973,www.grainger.com
286,Baxter International,BAX,9968,www.baxter.com
287,Stryker,SYK,9946,www.stryker.com
288,Air Products & Chemicals,APD,9895,www.airproducts.com
289,Western Refining,WNR,9787,www.wnr.com
290,Universal Health Services,UHS,9785,www.uhsinc.com
291,Owens & Minor,OMI,9773,www.owens-minor.com
292,Charter Communications,CHTR,9754,www.charter.com
293,Advance Auto Parts,AAP,9737,www.advanceautoparts.com
294,MasterCard,MA,9667,www.mastercard.com
295,Applied Materials,AMAT,9659,www.appliedmaterials.com
296,Eastman Chemical,EMN,9648,www.eastman.com
297,Sonic Automotive,SAH,9624,www.sonicautomotive.com
298,Ally Financial,ALLY,9539,www.ally.com
299,CST Brands,CST,9499,www.cstbrands.com
300,eBay,EBAY,9496,www.ebay.com
301,Lennar,LEN,9474,www.lennar.com
302,GameStop,GME,9364,www.gamestopcorp.com
303,Reliance Steel & Aluminum,RS,9351,www.rsac.com
304,Hormel Foods,HRL,9264,www.hormelfoods.com
305,Celgene,CELG,9256,www.celgene.com
306,Genworth Financial,GNW,9249,www.genworth.com
307,PayPal Holdings,PYPL,9248,www.paypal.com
308,Priceline Group,PCLN,9224,www.pricelinegroup.com
